EL (m),L (m),Δz (m),ΔL (m),Δx (m),L_x (m)
100,0,,,,0
99.45,5,0.55,5,4.969657936,4.969657936
99.15,8,0.3,3,2.984962311,7.954620247
98.95,11,0.2,3,2.993325909,10.94794616
98.65,15.5,0.3,4.5,4.489988864,15.43793502
98.4,19,0.25,3.5,3.491060011,18.92899503
98.35,23.6,0.05,4.6,4.599728253,23.52872328
98.3,28,0.05,4.4,4.3997159,27.92843918
98.1,32,0.2,4,3.994996871,31.92343606
98.05,37,0.05,5,4.999749994,36.92318605
98,43,0.05,6,5.999791663,42.92297771
98,44.2,0,1.2,1.2,44.12297771
97.8,48.5,0.2,4.3,4.295346319,48.41832403
97.65,51,0.15,2.5,2.495495943,50.91381997
97.3,54,0.35,3,2.979513383,53.89333336
97.1,56,0.2,2,1.989974874,55.88330823
96.65,58.4,0.45,2.4,2.357435047,58.24074328
96.3,60,0.35,1.6,1.5612495,59.80199278
95.9,62,0.4,2,1.959591794,61.76158457
95.6,64,0.3,2,1.977371993,63.73895657
95.4,66.4,0.2,2.4,2.391652149,66.13060871
95.4,69.8,0,3.4,3.4,69.53060871
95.6,72.4,-0.2,2.6,2.592296279,72.12290499
95.85,74.5,-0.25,2.1,2.085065946,74.20797094
96,75.9,-0.15,1.4,1.391941091,75.59991203
96,77.9,0,2,2,77.59991203
96.05,79.8,-0.05,1.9,1.899341991,79.49925402
96.05,82.5,0,2.7,2.7,82.19925402
96.15,85.2,-0.1,2.7,2.698147513,84.89740153
96.05,88.1,0.1,2.9,2.898275349,87.79567688
95.95,91,0.1,2.9,2.898275349,90.69395223
95.85,95,0.1,4,3.998749805,94.69270204
95.45,100,0.4,5,4.983974318,99.67667636
95.35,105,0.1,5,4.9989999,104.6756763
95.05,110,0.3,5,4.990991885,109.6666681
94.55,115.3,0.5,5.3,5.276362383,114.9430305
94.15,120.2,0.4,4.9,4.883646179,119.8266767
93.95,125,0.2,4.8,4.795831523,124.6225082
93.85,130.5,0.1,5.5,5.499090834,130.1215991
94.15,135.9,-0.3,5.4,5.391660227,135.5132593
94.4,140.6,-0.25,4.7,4.693346354,140.2066056
94.65,145.2,-0.25,4.6,4.593201498,144.7998071
94.65,150.1,0,4.9,4.9,149.6998071
94.55,155,0.1,4.9,4.898979486,154.5987866
94.3,160.5,0.25,5.5,5.494315244,160.0931019
94.2,165,0.1,4.5,4.498888752,164.5919906
94.3,171.1,-0.1,6.1,6.099180273,170.6911709
94.25,175.6,0.05,4.5,4.499722214,175.1908931
94,180.3,0.25,4.7,4.693346354,179.8842395
93.3,186.5,0.7,6.2,6.160357133,186.0445966
92.65,190.6,0.65,4.1,4.048147725,190.0927443
92,193.6,0.65,3,2.928736929,193.0214812
91.2,196,0.8,2.4,2.2627417,195.2842229
90.5,198,0.7,2,1.8734994,197.1577223
90.2,199.1,0.3,1.1,1.058300524,198.2160229
89.9,200,0.3,0.9,0.8485281374,199.064551
89.6,201,0.3,1,0.9539392014,200.0184902
89.3,202,0.3,1,0.9539392014,200.9724294
89,203,0.3,1,0.9539392014,201.9263686
88.75,204,0.25,1,0.9682458366,202.8946144
88.4,205,0.35,1,0.9367496998,203.8313641
88.2,206,0.2,1,0.9797958971,204.81116
87.7,207,0.5,1,0.8660254038,205.6771854
87.4,208,0.3,1,0.9539392014,206.6311247
86.7,209,0.7,1,0.7141428429,207.3452675
85.75,210,0.95,1,0.3122498999,207.6575174
85.25,211,0.5,1,0.8660254038,208.5235428
84.65,212,0.6,1,0.8,209.3235428
84.05,213,0.6,1,0.8,210.1235428
83.55,214,0.5,1,0.8660254038,210.9895682
83.15,215,0.4,1,0.916515139,211.9060833
82.95,216,0.2,1,0.9797958971,212.8858792
82,217,0.95,1,0.3122498999,213.1981291
81.55,218,0.45,1,0.893028555,214.0911577
80.95,219,0.6,1,0.8,214.8911577
80.55,220,0.4,1,0.916515139,215.8076728
79.65,221,0.9,1,0.4358898944,216.2435627
79,222,0.65,1,0.7599342077,217.0034969
78.75,223,0.25,1,0.9682458366,217.9717428
78.4,224,0.35,1,0.9367496998,218.9084925
76.75,225.5,1.65,1.5,1.5,220.4084925
76.4,227,0.35,1.5,1.458595215,221.8670877
75.75,228,0.65,1,0.7599342077,222.6270219
75.05,229.1,0.7,1.1,0.8485281374,223.47555
74.35,230,0.7,0.9,0.5656854249,224.0412355
73.6,231.1,0.75,1.1,0.804673847,224.8459093
73.3,232,0.3,0.9,0.8485281374,225.6944374
72.6,233,0.7,1,0.7141428429,226.4085803
72.2,234,0.4,1,0.916515139,227.3250954
71.9,235,0.3,1,0.9539392014,228.2790346
71.2,236,0.7,1,0.7141428429,228.9931775
70.7,237,0.5,1,0.8660254038,229.8592029
70.05,238.2,0.65,1.2,1.00871205,230.8679149
69.55,239,0.5,0.8,0.6244997998,231.4924147
69.25,240,0.3,1,0.9539392014,232.4463539
68.85,241,0.4,1,0.916515139,233.3628691
68.45,242,0.4,1,0.916515139,234.2793842
68.25,243,0.2,1,0.9797958971,235.2591801
67.45,244,0.8,1,0.6,235.8591801
67.5,245,-0.05,1,0.9987492178,236.8579293
67,246,0.5,1,0.8660254038,237.7239547
66.8,247,0.2,1,0.9797958971,238.7037506
66.35,248,0.45,1,0.893028555,239.5967792
66.2,249,0.15,1,0.9886859967,240.5854652
65.95,250,0.25,1,0.9682458366,241.553711
65.85,251,0.1,1,0.9949874371,242.5486984
65.5,253,0.35,2,1.969136867,244.5178353
65.3,255,0.2,2,1.989974874,246.5078102
65.2,257,0.1,2,1.997498436,248.5053086
65.1,259,0.1,2,1.997498436,250.5028071
65.1,261,0,2,2,252.5028071
65,263.1,0.1,2.1,2.097617696,254.6004247
65,265,0,1.9,1.9,256.5004247
65.1,267,-0.1,2,1.997498436,258.4979232
64.9,268.6,0.2,1.6,1.587450787,260.085374
65,270,-0.1,1.4,1.396424004,261.481798
65.1,275,-0.1,5,4.9989999,266.4807979
65.6,281,-0.5,6,5.979130372,272.4599282
65.5,285,0.1,4,3.998749805,276.458678
65.3,290,0.2,5,4.995998399,281.4546764
65,295,0.3,5,4.990991885,286.4456683
64.5,300,0.5,5,4.974937186,291.4206055
